ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Glenfiddich 12 Year Old,£14.95,20cl,40%,£7.47 per 10cl
 Glenkinchie 12 Year Old,£15.25,20cl,43%,£7.62 per 10cl
 Cragganmore 12 Year Old,£15.45,20cl,40%,£7.73 per 10cl
 Talisker 10 Year Old,£15.45,20cl,45.8%,£7.73 per 10cl
 Dalwhinnie 15 Year Old,£12.95,20cl,43%,£6.48 per 10cl
 Clynelish 14 Year Old,£15.95,20cl,46%,£7.98 per 10cl
Kingsbarns Spirit Drink,£16.95,20cl,63.5%,£8.48 per 10cl
 Bruichladdich Classic Laddie Scottish Barley,£17.25,20cl,50%,£8.63 per 10cl
 Caol Ila 12 Year Old,£17.45,20cl,43%,£8.73 per 10cl
 Glenfarclas 10 Year Old,£17.45,20cl,40%,£8.73 per 10cl
 Balvenie 12 Year Old,£17.95,20cl,40%,£8.97 per 10cl
 Edradour 10 Year Old,£17.95,20cl,40%,£8.97 per 10cl
 Oban 14 Year Old,£18.45,20cl,43%,£9.23 per 10cl
 Tomatin 12 Year Old,£18.75,20cl,43%,£9.38 per 10cl
 Glenfiddich 15 Year Old,£18.95,20cl,40%,£9.48 per 10cl
 Lagavulin 16 Year Old,£20.95,20cl,43%,£10.47 per 10cl
 Highland Park 12 Year Old,£14.95,35cl,40%,£42.71 per litre
 Glenfarclas 105°,£21.75,20cl,60%,£10.88 per 10cl
 Glenmorangie 10 Year Old,£21.95,35cl,40%,£62.71 per litre
 Glenfiddich 12 Year Old,£21.95,35cl,40%,£62.71 per litre
 Kilchoman Machir Bay,£21.95,20cl,46%,£10.98 per 10cl
Glen Moray Classic,£22.95,70cl,40%,£32.79 per litre
Speyburn Bradan Orach,£24.95,70cl,40%,£35.64 per litre
Auchentoshan American Oak,£24.95,70cl,40%,£35.64 per litre
 Kilchoman Sanaig,£24.95,20cl,46%,£12.48 per 10cl
Crabbies Yardhead Single Malt,£24.95,70cl,40%,£35.64 per litre
 Tomintoul 16 Year Old,£25.45,35cl,40%,£72.71 per litre
 Loch Lomond Original,£25.75,70cl,40%,£36.79 per litre
Glen Moray Port Cask Finish,£26.95,70cl,40%,£38.50 per litre
Glen Moray Peated,£26.95,70cl,40%,£38.50 per litre
Glen Moray Sherry Cask Finish,£26.95,70cl,40%,£38.50 per litre
Tomintoul Tlath,£27.45,70cl,40%,£39.21 per litre
Ardmore Legacy,£23.95,70cl,40%,£34.21 per litre
 Tomatin Legacy,£28.75,70cl,43%,£41.07 per litre
 Glencadam Origin 1825,£28.95,70cl,40%,£41.36 per litre
Glen Keith Distillery Edition,£28.95,70cl,40%,£41.36 per litre
Glen Grant 10 Year Old,£29.95,70cl,40%,£42.79 per litre
Speyburn 10 Year Old,£29.95,70cl,40%,£42.79 per litre
 Glen Moray Peated,£29.95,70cl,40%,£42.79 per litre
 Glen Moray Classic,£29.95,70cl,40%,£42.79 per litre
 Glen Moray Port Cask Finish,£29.95,70cl,40%,£42.79 per litre
Bowmore No.1,£29.95,70cl,40%,£42.79 per litre
John Crabbie 8 Year Old,£29.95,70cl,46%,£42.79 per litre
AnCnoc 12 Year Old,£30.95,70cl,40%,£44.21 per litre
Tomintoul 10 Year Old,£30.95,70cl,40%,£44.21 per litre
Benriach Heart of Speyside,£31.75,70cl,40%,£45.36 per litre
John Crabbie 12 Year Old,£31.75,70cl,43%,£45.36 per litre
 Finlaggan Original,£31.95,70cl,40%,£45.64 per litre
Old Pulteney 12 Year Old,£31.95,70cl,40%,£45.64 per litre
Tomintoul Peaty Tang,£31.95,70cl,40%,£45.64 per litre
Laphroaig Select,£31.95,70cl,40%,£45.64 per litre
Arran Robert Burns Single Malt,£32.25,70cl,43%,£46.07 per litre
Arran Barrel Reserve,£32.25,70cl,43%,£46.07 per litre
Glenfiddich 12 Year Old,£32.75,70cl,40%,£46.78 per litre
Tamnavulin Double Cask,£32.75,70cl,40%,£46.79 per litre
Tomintoul Seiridh,£32.75,70cl,40%,£46.79 per litre
 Highland Park 12 Year Old,£32.95,70cl,40%,£47.07 per litre
 Glengoyne 18 Year Old,£32.95,20cl,43%,£16.47 per 10cl
Stronachie 10 Year Old,£32.95,70cl,43%,£47.07 per litre
 Cask Islay,£32.95,70cl,46%,£47.07 per litre
Tamnavulin Sherry Edition,£32.95,70cl,40%,£47.07 per litre
Benromach 10 Year Old,£33.95,70cl,43%,£48.50 per litre
Glenlivet Founder's Reserve,£33.95,70cl,40%,£48.50 per litre
Jura 10 Year Old,£33.95,70cl,40%,£48.50 per litre
Glengoyne 10 Year Old,£34.45,70cl,40%,£49.21 per litre
Ileach Peaty,£34.45,70cl,40%,£49.21 per litre
 Glengoyne 10 Year Old,£34.45,70cl,40%,£49.21 per litre
 Benriach The Original Ten,£34.45,70cl,43%,£49.21 per litre
Aberlour 10 Year Old,£34.95,70cl,40%,£49.93 per litre
Glenfarclas 10 Year Old,£34.95,70cl,40%,£49.93 per litre
Bowmore 12 Year Old,£34.95,70cl,40%,£49.93 per litre
Glenmorangie 10 Year Old Original,£34.95,70cl,40%,£49.93 per litre
Glen Garioch Founder's Reserve,£34.95,70cl,48%,£49.93 per litre
Glen Scotia Double Cask,£34.95,70cl,46%,£49.93 per litre
 Arran Robert Burns,£34.95,70cl,43%,£49.93 per litre
Deanston Virgin Oak,£35.95,70cl,46.3%,£51.36 per litre
 Cask Speyside 10 Year Old,£35.95,70cl,46%,£51.36 per litre
Jura Journey,£36.25,70cl,40%,£51.79 per litre
Benriach Birnie Moss Intensely Peated,£36.45,70cl,48%,£52.07 per litre
 Tullibardine Sovereign,£36.45,70cl,43%,£52.07 per litre
The Deveron 12 Year Old,£36.45,70cl,40%,£52.07 per litre
Glenrothes 10 Year Old,£36.45,70cl,40%,£52.07 per litre
 Glendronach 8 Year Old,£36.75,70cl,46%,£52.50 per litre
Glenlivet 12 Year Old,£36.95,70cl,40%,£52.79 per litre
Smokehead,£36.95,70cl,43%,£52.79 per litre
Royal Lochnagar 12 Year Old,£36.95,70cl,40%,£52.79 per litre
Auchentoshan 12 Year Old,£36.95,70cl,40%,£52.79 per litre
 Cardhu Gold Reserve,£36.95,70cl,40%,£52.79 per litre
Glen Moray 12 Year Old,£36.95,70cl,40%,£52.79 per litre
Loch Lomond 12 Year Old,£36.95,70cl,46%,£52.79 per litre
Highland Harvest Organic Single Malt,£36.95,70cl,46%,£52.79 per litre
 Ardbeg Wee Beastie,£36.95,70cl,47.4%,£52.79 per litre
 Knockando 2007,£36.95,70cl,46%,£52.79 per litre
 Loch Lomond 12 Year Old,£36.95,70cl,46%,£52.79 per litre
Glengoyne 12 Year Old,£33.95,70cl,43%,£48.50 per litre
Cragganmore 12 Year Old,£37.95,70cl,40%,£54.21 per litre
Talisker 10 Year Old,£37.95,70cl,45.8%,£54.21 per litre
Aberfeldy 12 Year Old,£37.95,70cl,40%,£54.21 per litre
Singleton of Dufftown 12 Year Old,£37.95,70cl,40%,£54.21 per litre
Singleton of Dufftown Tailfire,£37.95,70cl,40%,£54.21 per litre
Talisker Skye,£37.95,70cl,45.8%,£54.21 per litre
Singleton of Dufftown Tailfire,£37.95,70cl,40%,£54.21 per litre
Spey Trutina,£37.95,70cl,46%,£54.21 per litre
Bunnahabhain Stiuireadair,£37.95,70cl,46.3%,£54.21 per litre
Knockando 12 Year Old,£37.95,70cl,43%,£54.21 per litre
Glen Moray Fired Oak 10 Year Old,£37.95,70cl,40%,£54.21 per litre
 Glencadam Reserva Andalucia,£37.95,70cl,46%,£54.21 per litre
 Benriach 2012,£37.95,70cl,46%,£54.21 per litre
Glenglassaugh Revival,£38.45,70cl,46%,£54.93 per litre
 Benriach Curiositas 10 Year Old,£38.95,70cl,46%,£55.64 per litre
Cardhu 12 Year Old,£38.95,70cl,40%,£55.64 per litre
Old Ballantruan,£38.95,70cl,50%,£55.64 per litre
 Deanston 12 Year Old,£38.95,70cl,46.3%,£55.64 per litre
 Highland Harvest Organic,£38.95,70cl,46%,£55.64 per litre
 Royal Lochnagar 12 Year Old,£39.25,70cl,40%,£56.07 per litre
 Singleton Glendullan Reserve,£39.25,70cl,40%,£56.07 per litre
 Miltonduff 2009,£39.45,70cl,46%,£56.36 per litre
 Inchgower 2008,£39.75,70cl,46%,£56.79 per litre
 Teaninich 2008,£39.75,70cl,46%,£56.79 per litre
 Aberlour 12 Year Old,£39.95,70cl,40%,£57.07 per litre
Dalwhinnie 15 Year Old,£35.95,70cl,43%,£51.36 per litre
Glen Elgin 12 Year Old,£39.95,70cl,43%,£57.07 per litre
Laphroaig 10 Year Old,£36.95,70cl,40%,£52.79 per litre
Glenkinchie 12 Year Old,£39.95,70cl,43%,£57.07 per litre
 Tomintoul 12 Year Old,£39.95,70cl,40%,£57.07 per litre
Bowmore Legend,£39.95,70cl,40%,£57.07 per litre
 Glen Moray 10 Year Old,£39.95,70cl,40%,£57.07 per litre
 Tullibardine 228,£39.95,70cl,43%,£57.07 per litre
 Tullibardine 225,£39.95,70cl,43%,£57.07 per litre
 Tullibardine 500,£39.95,70cl,43%,£57.07 per litre
 Arran 10 Year Old,£39.95,70cl,46%,£57.07 per litre
 Highland Park 12 Year Old,£39.95,70cl,40%,£57.07 per litre
Port Askaig 8 Year Old,£39.95,70cl,45.8%,£57.07 per litre
 Benromach Organic 2011,£39.95,70cl,43%,£57.07 per litre
 Benriach 10 Year Old,£39.95,70cl,43%,£57.07 per litre
 Talisker Skye,£39.95,70cl,45.8%,£57.07 per litre
 Benriach The Smoky Ten,£39.95,70cl,46%,£57.07 per litre
Laphroaig Quarter Cask,£40.95,70cl,48%,£58.50 per litre
Scapa Skiren,£40.95,70cl,40%,£58.50 per litre
 Tomatin 12 Year Old,£40.95,70cl,43%,£58.50 per litre
 Pulteney 2005,£40.95,70cl,43%,£58.50 per litre
Glenrothes 12 Year Old,£40.95,70cl,40%,£58.50 per litre
 Dailuaine 2007,£40.95,70cl,46%,£58.50 per litre
Glenallachie 12 Year Old,£41.25,70cl,46%,£58.93 per litre
 Ben Eideann Distillery Edition Kosher Whisky,£41.75,70cl,40%,£59.64 per litre
Balvenie 12 Year Old DoubleWood,£41.95,70cl,40%,£59.93 per litre
Edradour 10 Year Old,£41.95,70cl,40%,£59.93 per litre
Tomintoul 16 Year Old,£41.95,70cl,40%,£59.93 per litre
Peat's Beast Single Malt Whisky,£41.95,70cl,46%,£59.93 per litre
Talisker Storm,£41.95,70cl,45.8%,£59.93 per litre
Cu Bocan Signature,£41.95,70cl,46%,£59.93 per litre
Inchmurrin 12 Year Old,£41.95,70cl,46%,£59.93 per litre
 Benromach 2009,£41.95,70cl,46%,£59.93 per litre
 Singleton of Dufftown 12 Year Old,£41.95,70cl,40%,£59.93 per litre
 Benriach The Twelve,£41.95,70cl,46%,£59.93 per litre
Ardbeg 10 Year Old,£42.45,70cl,46%,£60.64 per litre
 Glenfiddich Fire and Cane,£42.75,70cl,43%,£61.07 per litre
 Ben Nevis 2010,£42.75,70cl,46%,£61.07 per litre
 Bruichladdich Classic Laddie,£42.95,70cl,50%,£61.36 per litre
 Cardhu 12 Year Old,£42.95,70cl,40%,£61.36 per litre
Scapa Glansa,£42.95,70cl,40%,£61.36 per litre
Tamdhu 12 Year Old,£42.95,70cl,43%,£61.36 per litre
Loch Lomond 12 Year Old Gift Set,£42.95,70cl,46%,£61.36 per litre
 Glen Elgin 2007,£42.95,70cl,46%,£61.36 per litre
 Linkwood 2008,£42.95,70cl,46%,£61.36 per litre
 Glenlossie 2007,£42.95,70cl,46%,£61.36 per litre
Inchmurrin 12 Year Old,£42.95,70cl,46%,£61.36 per litre
 Glendullan 2007,£42.95,70cl,46%,£61.36 per litre
Glendronach 12 Year Old Original,£43.45,70cl,43%,£62.07 per litre
Bunnahabhain Toiteach A Dha,£43.45,70cl,46.3%,£62.07 per litre
Spey Fumare,£43.75,70cl,46%,£62.50 per litre
Balblair 12 Year Old,£43.75,70cl,46%,£62.50 per litre
Glen Garioch 12 Year Old,£43.95,70cl,48%,£62.79 per litre
Macallan Double Cask Gold,£43.95,70cl,40%,£62.79 per litre
Glenturret Sherry Edition,£43.95,70cl,43%,£62.79 per litre
Glenturret Triple Wood,£43.95,70cl,43%,£62.79 per litre
Inchmoan 12 Year Old,£43.95,70cl,46%,£62.79 per litre
 Auchentoshan The Bartender's Malt,£43.95,70cl,47%,£62.79 per litre
Ardbeg An Oa,£43.95,70cl,46.6%,£62.79 per litre
Kilchoman Machir Bay,£43.95,70cl,46%,£62.79 per litre
Old Pulteney Huddart,£43.95,70cl,46%,£62.79 per litre
 Benromach 2011,£43.95,70cl,45%,£62.79 per litre
 Macduff 2009,£43.95,70cl,46%,£62.79 per litre
Glenglassaugh Torfa,£44.25,70cl,50%,£63.21 per litre
 Arran Machrie Moor,£44.25,70cl,46%,£63.21 per litre
 Glenfiddich IPA Cask,£39.95,70cl,43%,£57.07 per litre
Inchmoan 12 Year Old,£44.45,70cl,46%,£63.50 per litre
Caol Ila 12 Year Old,£44.95,70cl,43%,£64.21 per litre
 Glenfiddich 15 Year Old,£44.95,70cl,40%,£64.21 per litre
Bunnahabhain 12 Year Old,£39.95,70cl,46.3%,£57.07 per litre
 Talisker 10 Year Old,£44.95,70cl,45.8%,£64.21 per litre
Cardhu Amber Rock,£44.95,70cl,40%,£64.21 per litre
Wolfburn Northland,£44.95,70cl,46%,£64.21 per litre
Glen Grant 12 Year Old,£44.95,70cl,43%,£64.21 per litre
Wolfburn Aurora,£44.95,70cl,46%,£64.21 per litre
Wolfburn Morven,£44.95,70cl,46%,£64.21 per litre
 Jura 12 Year Old,£44.95,70cl,40%,£64.21 per litre
Kingsbarns Dream to Dram,£44.95,70cl,46%,£64.21 per litre
 Balvenie 12 Year Old,£41.95,70cl,43%,£59.93 per litre
 Tomatin 12 Year Old,£44.95,70cl,43%,£64.21 per litre
Bn8 - Elements of Islay,£44.95,50cl,58.4%,£89.90 per litre
 Glenfiddich Project XX,£45.45,70cl,47%,£64.93 per litre
Tomintoul 14 Year Old,£45.45,70cl,46%,£64.93 per litre
 Tomatin 8 Year Old Bourbon & Sherry Casks,£45.75,100cl,40%,
 Strathmill 12 Year Old,£45.95,70cl,43%,£65.64 per litre
 Glenmorangie Lasanta 12 Year Old,£45.95,70cl,43%,£65.64 per litre
Arran Sauternes Cask Finish,£45.95,70cl,50%,£65.64 per litre
Glenglassaugh Evolution,£45.95,70cl,50%,£65.64 per litre
Port Askaig 100° Proof,£42.95,70cl,57.1%,£61.36 per litre
 Finlaggan Eilean Mor,£45.95,70cl,46%,£65.64 per litre
Glenturret Peated Edition,£45.95,70cl,43%,£65.64 per litre
Fettercairn 12 Year Old,£45.95,70cl,40%,£65.64 per litre
Tobermory 12 Year Old,£45.95,70cl,46.3%,£65.64 per litre
 Benriach The Smoky Twelve,£45.95,70cl,46%,£65.64 per litre
 Unnamed Speyside 2005,£46.25,70cl,46%,£66.07 per litre
 Ardmore 2009,£46.25,70cl,46%,£66.07 per litre
 Caol Ila 2011,£46.25,70cl,46%,£66.07 per litre
 Unnamed Speyside 2007,£46.25,70cl,46%,£66.07 per litre
 Caol Ila 2011,£46.25,70cl,46%,£66.07 per litre
 Ardbeg 10 Year Old,£46.45,70cl,46%,£66.36 per litre
Clynelish 14 Year Old,£46.75,70cl,46%,£66.79 per litre
Arran Marsala Cask Finish,£46.75,70cl,50%,£66.79 per litre
Arran Amarone Cask Finish,£46.75,70cl,50%,£66.79 per litre
Arran Port Cask Finish,£46.75,70cl,50%,£66.79 per litre
Arran Sauternes Cask Finish,£46.75,70cl,50%,£66.79 per litre
 Glen Spey 12 Year Old,£46.95,70cl,43%,£67.07 per litre
 Classic Malts Gentle Collection,£46.95,60cl,43%,£78.25 per litre
 Teaninich 10 Year Old,£46.95,70cl,43%,£67.07 per litre
